ID_MONITORIA,DATA,AVAYALOGIN,SUPERVISOR,SEGMENTO,ANALISTA,NOTA_FINAL,Saudação e Identificação,Escuta Ativa,Clareza na Comunicação,Resolução no Primeiro Contato,Empatia com o Cliente,Conhecimento do Produto,Seguiu Script,Encerramento Adequado
48,2024-01-13,5510006,Supervisor 4,Segmento 1,Augusto Alves,6.4,7,9,7,5,6,4,10,3
49,2024-01-16,5510006,Supervisor 4,Segmento 1,Julia Guerra,5.5,2,7,3,3,2,9,9,9
50,2024-01-21,5510006,Supervisor 4,Segmento 1,Otto Sousa,3.9,6,0,4,3,2,0,10,6
51,2024-01-08,5510006,Supervisor 4,Segmento 1,Anthony Gabriel Brito,2.4,1,1,2,1,7,0,4,3
52,2024-02-24,5510006,Supervisor 4,Segmento 1,Daniel Fernandes,5.2,7,9,6,5,0,8,4,3
53,2024-02-15,5510006,Supervisor 4,Segmento 1,Beatriz Gomes,4.8,3,7,2,4,1,10,7,4
54,2024-02-17,5510006,Supervisor 4,Segmento 1,Sophie Teixeira,6.0,9,0,9,7,8,2,7,6
55,2024-02-24,5510006,Supervisor 4,Segmento 1,Dra. Alana Vieira,6.5,9,8,1,7,10,1,10,6
56,2024-02-01,5510006,Supervisor 4,Segmento 1,Lunna Moraes,4.6,4,2,0,10,7,4,3,7
57,2024-02-22,5510006,Supervisor 4,Segmento 1,Rael Nogueira,6.9,5,10,1,10,7,7,7,8
58,2024-03-13,5510006,Supervisor 4,Segmento 1,Raul Ribeiro,3.4,4,2,5,1,0,8,1,6
59,2024-03-07,5510006,Supervisor 4,Segmento 1,Sr. Mathias Andrade,6.8,5,10,8,8,7,8,7,1
60,2024-03-12,5510006,Supervisor 4,Segmento 1,Bruna Fonseca,6.4,1,9,6,7,4,10,7,7
61,2024-03-07,5510006,Supervisor 4,Segmento 1,Maria Helena Mendonça,5.4,5,3,1,6,2,10,7,9
62,2024-03-26,5510006,Supervisor 4,Segmento 1,Emanuel da Mota,6.4,7,0,6,6,9,9,9,5
63,2024-03-04,5510006,Supervisor 4,Segmento 1,Sr. Diogo Duarte,3.5,5,1,5,4,0,3,2,8
64,2024-01-04,5510007,Supervisor 7,Segmento 4,Ian Freitas,4.4,2,6,2,4,7,5,3,6
65,2024-01-02,5510007,Supervisor 7,Segmento 4,Clarice Araújo,6.1,6,6,8,10,0,2,8,9
66,2024-01-04,5510007,Supervisor 7,Segmento 4,Rafaela Silveira,4.2,4,6,1,4,5,5,4,5
67,2024-01-25,5510007,Supervisor 7,Segmento 4,Thomas Machado,5.1,1,1,7,5,5,9,5,8
68,2024-01-02,5510007,Supervisor 7,Segmento 4,Lorenzo Pires,5.6,3,9,10,8,2,1,5,7
69,2024-01-17,5510007,Supervisor 7,Segmento 4,João Vitor Fernandes,5.2,0,9,5,10,6,4,6,2
70,2024-02-15,5510007,Supervisor 7,Segmento 4,Bruno Mendonça,5.0,9,5,6,7,2,3,0,8
71,2024-02-06,5510007,Supervisor 7,Segmento 4,Pedro Castro,5.1,5,5,4,10,4,3,6,4
72,2024-02-10,5510007,Supervisor 7,Segmento 4,Dr. Diogo Souza,5.4,4,9,3,7,4,7,9,0
73,2024-02-19,5510007,Supervisor 7,Segmento 4,Ágatha Moreira,7.0,8,8,7,6,8,8,3,8
74,2024-02-27,5510007,Supervisor 7,Segmento 4,Marcelo Novaes,5.9,10,4,9,1,6,9,7,1
75,2024-02-27,5510007,Supervisor 7,Segmento 4,Aylla Mendes,6.1,5,7,6,2,8,9,4,8
76,2024-03-16,5510007,Supervisor 7,Segmento 4,Sra. Clarice Rezende,4.5,0,6,3,3,5,10,1,8
77,2024-03-09,5510007,Supervisor 7,Segmento 4,Daniela Campos,6.0,6,2,6,4,7,7,8,8
78,2024-03-15,5510007,Supervisor 7,Segmento 4,Ana Vitória Gonçalves,4.8,0,9,3,6,7,6,6,1
79,2024-03-06,5510007,Supervisor 7,Segmento 4,Hadassa Nogueira,4.8,7,7,2,0,10,10,0,2
80,2024-03-06,5510007,Supervisor 7,Segmento 4,Mariane Albuquerque,3.4,3,1,9,3,9,0,2,0
81,2024-03-16,5510007,Supervisor 7,Segmento 4,Caleb Ribeiro,2.4,0,1,4,5,0,1,6,2
82,2024-01-10,5510008,Supervisor 1,Segmento 1,Sra. Isabel Farias,3.4,4,4,0,0,9,0,3,7
83,2024-01-26,5510008,Supervisor 1,Segmento 1,Cauê Freitas,3.4,2,2,4,7,2,4,2,4
84,2024-01-08,5510008,Supervisor 1,Segmento 1,Emilly Moura,6.1,3,0,5,6,9,6,10,10
85,2024-01-20,5510008,Supervisor 1,Segmento 1,Dr. José Cardoso,4.5,0,5,10,8,0,8,2,3
86,2024-02-14,5510008,Supervisor 1,Segmento 1,João Gabriel Camargo,5.4,0,0,6,7,9,9,2,10
87,2024-02-13,5510008,Supervisor 1,Segmento 1,Dr. Leandro Caldeira,5.6,8,4,6,3,9,5,5,5
88,2024-02-02,5510008,Supervisor 1,Segmento 1,Sophie Sales,4.8,6,4,2,2,6,0,10,8
89,2024-02-19,5510008,Supervisor 1,Segmento 1,Ana Júlia Cardoso,5.0,1,7,5,9,7,0,1,10
90,2024-03-12,5510008,Supervisor 1,Segmento 1,Antônio da Paz,4.8,1,9,0,8,0,4,7,9
91,2024-03-17,5510008,Supervisor 1,Segmento 1,Carlos Eduardo da Paz,5.2,4,9,10,0,5,1,5,8
92,2024-03-06,5510008,Supervisor 1,Segmento 1,Otto Correia,5.5,4,8,8,8,2,5,8,1
93,2024-03-20,5510008,Supervisor 1,Segmento 1,Francisco da Conceição,5.4,2,0,10,10,10,2,7,2
94,2024-01-20,5510009,Supervisor 6,Segmento 1,Renan Vargas,4.9,8,1,10,1,4,1,6,8
95,2024-01-17,5510009,Supervisor 6,Segmento 1,Rodrigo Cardoso,4.5,9,5,0,6,5,7,3,1
96,2024-01-06,5510009,Supervisor 6,Segmento 1,Dr. Heitor Moura,3.9,3,2,8,5,1,5,5,2
97,2024-01-26,5510009,Supervisor 6,Segmento 1,Dra. Fernanda Moura,6.5,9,7,4,10,2,8,6,6
98,2024-02-12,5510009,Supervisor 6,Segmento 1,Olívia Gomes,4.9,7,7,1,10,9,0,2,3
99,2024-02-13,5510009,Supervisor 6,Segmento 1,Dr. Calebe Oliveira,5.2,3,6,8,2,8,7,8,0
100,2024-02-14,5510009,Supervisor 6,Segmento 1,Maria Liz Garcia,6.8,8,9,7,0,7,10,9,4
101,2024-02-14,5510009,Supervisor 6,Segmento 1,Sr. João Gabriel Almeida,4.1,7,2,0,5,2,9,1,7
102,2024-03-07,5510009,Supervisor 6,Segmento 1,Sr. Otto Vargas,6.0,7,5,10,0,8,6,3,9
103,2024-03-03,5510009,Supervisor 6,Segmento 1,Beatriz Nunes,6.6,2,7,7,6,9,10,8,4
104,2024-03-10,5510009,Supervisor 6,Segmento 1,Camila Aparecida,3.8,3,1,1,2,4,10,0,9
105,2024-03-06,5510009,Supervisor 6,Segmento 1,Maitê Siqueira,6.4,10,8,6,10,0,10,4,3
106,2024-01-13,5510011,Supervisor 1,Segmento 3,Maria Eduarda Lima,6.0,6,8,9,9,5,7,0,4
107,2024-01-22,5510011,Supervisor 1,Segmento 3,Gabrielly Nunes,4.1,1,1,8,5,3,5,6,4
108,2024-01-25,5510011,Supervisor 1,Segmento 3,Ágatha Guerra,3.5,2,3,1,6,4,2,1,9
109,2024-01-16,5510011,Supervisor 1,Segmento 3,João Guilherme Vieira,5.0,6,3,4,6,10,1,0,10
110,2024-01-25,5510011,Supervisor 1,Segmento 3,Maria Pereira,7.9,10,8,7,5,10,9,8,6
111,2024-02-16,5510011,Supervisor 1,Segmento 3,Danilo Oliveira,4.4,0,7,8,6,3,8,1,2
112,2024-02-17,5510011,Supervisor 1,Segmento 3,Luiz Felipe Vasconcelos,5.4,4,0,5,7,10,9,2,6
113,2024-02-12,5510011,Supervisor 1,Segmento 3,Lunna Farias,5.9,8,2,10,4,8,3,7,5
114,2024-02-09,5510011,Supervisor 1,Segmento 3,Dr. João Lucas Oliveira,4.8,1,6,0,6,1,10,10,4
115,2024-02-13,5510011,Supervisor 1,Segmento 3,Vicente Moreira,5.4,0,10,3,5,1,9,10,5
116,2024-03-12,5510011,Supervisor 1,Segmento 3,Antônio da Rosa,4.5,7,3,0,0,9,7,4,6
117,2024-03-12,5510011,Supervisor 1,Segmento 3,Luiz Otávio da Cruz,4.6,5,2,4,8,3,4,8,3
118,2024-03-03,5510011,Supervisor 1,Segmento 3,Julia Gonçalves,3.9,10,1,1,4,5,0,6,4
119,2024-03-26,5510011,Supervisor 1,Segmento 3,Anna Liz da Cunha,5.5,5,3,3,4,9,5,6,9
120,2024-03-04,5510011,Supervisor 1,Segmento 3,Asafe Santos,4.0,2,4,0,1,3,8,5,9
121,2024-01-14,5510012,Supervisor 7,Segmento 3,Isabel Barbosa,5.5,6,4,6,8,4,8,0,8
122,2024-01-07,5510012,Supervisor 7,Segmento 3,Bernardo Sales,5.1,5,10,2,2,8,2,4,8
123,2024-01-05,5510012,Supervisor 7,Segmento 3,Theodoro Teixeira,4.6,7,4,10,3,2,3,6,2
124,2024-01-02,5510012,Supervisor 7,Segmento 3,Davi Miguel Costa,7.8,10,9,8,10,2,5,9,9
125,2024-01-12,5510012,Supervisor 7,Segmento 3,Dr. Luigi Barbosa,4.0,5,10,5,1,1,4,0,6
126,2024-01-15,5510012,Supervisor 7,Segmento 3,Luan Marques,4.4,8,4,0,0,10,0,6,7
127,2024-02-23,5510012,Supervisor 7,Segmento 3,Sr. Enrico Costa,5.2,9,4,7,1,9,9,1,2
128,2024-02-24,5510012,Supervisor 7,Segmento 3,Lucas Gabriel Barbosa,3.9,0,10,1,1,1,6,10,2
129,2024-02-19,5510012,Supervisor 7,Segmento 3,Raul Ferreira,3.9,8,2,0,5,5,6,4,1
130,2024-02-24,5510012,Supervisor 7,Segmento 3,Igor Fonseca,7.5,9,9,10,0,10,3,9,10
131,2024-02-02,5510012,Supervisor 7,Segmento 3,Theo Cavalcante,5.9,10,10,7,0,9,7,0,4
132,2024-02-24,5510012,Supervisor 7,Segmento 3,Levi Rios,3.2,9,2,2,1,0,5,6,1
133,2024-03-16,5510012,Supervisor 7,Segmento 3,Sophie Abreu,7.5,10,2,1,9,10,10,9,9
134,2024-03-27,5510012,Supervisor 7,Segmento 3,Sabrina Sá,5.0,7,5,2,5,4,7,10,0
135,2024-03-20,5510012,Supervisor 7,Segmento 3,Lucas Viana,6.6,7,8,8,3,5,9,9,4
136,2024-03-14,5510012,Supervisor 7,Segmento 3,Dante Santos,4.0,4,7,2,10,5,1,2,1
137,2024-03-10,5510012,Supervisor 7,Segmento 3,Maria Luísa Caldeira,4.5,2,0,8,6,10,5,5,0
138,2024-03-11,5510012,Supervisor 7,Segmento 3,Isaac Rezende,4.9,9,9,0,7,0,1,9,4
139,2024-01-13,5510013,Supervisor 4,Segmento 1,Kamilly Novais,5.1,0,5,10,8,4,7,1,6
140,2024-01-06,5510013,Supervisor 4,Segmento 1,Esther Almeida,3.4,3,4,4,1,5,1,3,6
141,2024-01-07,5510013,Supervisor 4,Segmento 1,Luiz Miguel Nunes,2.1,1,2,4,0,3,6,0,1
142,2024-02-23,5510013,Supervisor 4,Segmento 1,Zoe Pastor,5.6,2,7,10,8,2,7,0,9
143,2024-02-08,5510013,Supervisor 4,Segmento 1,Valentim Pereira,3.8,1,7,6,0,2,10,4,0
144,2024-02-27,5510013,Supervisor 4,Segmento 1,Liz Oliveira,5.6,2,6,3,5,6,8,8,7
145,2024-03-18,5510013,Supervisor 4,Segmento 1,João Miguel Fogaça,5.0,9,5,5,2,9,9,1,0
146,2024-03-21,5510013,Supervisor 4,Segmento 1,Luiz Fernando Albuquerque,4.9,0,6,2,9,1,6,9,6
147,2024-03-06,5510013,Supervisor 4,Segmento 1,Isadora da Mata,4.8,7,0,8,3,2,3,8,7
148,2024-01-03,5510014,Supervisor 2,Segmento 2,Ana Beatriz Rodrigues,4.0,2,5,0,8,3,10,4,0
149,2024-01-01,5510014,Supervisor 2,Segmento 2,Juan Novais,3.6,0,1,7,0,4,7,6,4
150,2024-02-25,5510014,Supervisor 2,Segmento 2,Ana Beatriz da Luz,3.5,0,0,3,10,8,1,6,0
151,2024-02-11,5510014,Supervisor 2,Segmento 2,Arthur da Cunha,3.0,6,0,3,2,6,1,2,4
152,2024-03-04,5510014,Supervisor 2,Segmento 2,Yasmin Cavalcanti,5.1,4,3,3,7,4,9,5,6
153,2024-03-18,5510014,Supervisor 2,Segmento 2,Maria Helena Martins,6.4,8,8,9,6,8,2,7,3
154,2024-01-17,5510015,Supervisor 6,Segmento 1,Mateus Lima,4.1,7,0,7,2,4,6,2,5
155,2024-01-08,5510015,Supervisor 6,Segmento 1,Maitê Campos,8.2,9,9,9,7,9,8,9,6
156,2024-01-04,5510015,Supervisor 6,Segmento 1,Otto Rocha,4.5,8,6,2,0,5,10,5,0
157,2024-01-01,5510015,Supervisor 6,Segmento 1,Elisa Cirino,4.2,6,7,2,8,2,3,6,0
158,2024-02-22,5510015,Supervisor 6,Segmento 1,Maria Cecília Cunha,4.2,8,3,5,2,3,3,9,1
159,2024-02-08,5510015,Supervisor 6,Segmento 1,Isabelly Garcia,7.6,9,9,8,6,2,10,10,7
160,2024-02-01,5510015,Supervisor 6,Segmento 1,Cecilia Machado,5.6,7,0,2,8,7,4,8,9
161,2024-02-03,5510015,Supervisor 6,Segmento 1,Vitória Costa,3.8,2,8,2,3,1,3,1,10
162,2024-03-19,5510015,Supervisor 6,Segmento 1,Liz Vieira,5.0,9,7,9,9,1,2,3,0
163,2024-03-11,5510015,Supervisor 6,Segmento 1,Bernardo Sousa,4.8,6,10,5,5,3,3,5,1
164,2024-03-08,5510015,Supervisor 6,Segmento 1,Ágatha Ferreira,6.0,7,4,9,6,4,6,8,4
165,2024-03-07,5510015,Supervisor 6,Segmento 1,Srta. Bruna Freitas,5.6,10,6,7,1,9,4,7,1
166,2024-01-27,5510016,Supervisor 3,Segmento 3,Miguel Sá,6.8,3,10,10,9,5,1,10,6
167,2024-01-10,5510016,Supervisor 3,Segmento 3,Thiago Leão,4.0,1,10,7,2,4,0,5,3
168,2024-01-03,5510016,Supervisor 3,Segmento 3,Dr. Gustavo Henrique Brito,5.4,9,4,7,7,2,10,3,1
169,2024-01-18,5510016,Supervisor 3,Segmento 3,Dr. Luan Novais,3.4,3,3,3,6,1,4,3,4
170,2024-02-07,5510016,Supervisor 3,Segmento 3,Sara Freitas,5.9,10,5,6,4,8,6,7,1
171,2024-02-19,5510016,Supervisor 3,Segmento 3,Samuel Moreira,5.4,10,1,5,3,9,5,7,3
172,2024-02-26,5510016,Supervisor 3,Segmento 3,Mateus da Luz,2.6,0,3,3,4,1,6,0,4
173,2024-02-27,5510016,Supervisor 3,Segmento 3,Dr. Danilo Costa,5.4,6,2,9,0,10,7,0,9
174,2024-03-20,5510016,Supervisor 3,Segmento 3,Heloisa Costa,3.6,5,0,1,4,2,7,5,5
175,2024-03-04,5510016,Supervisor 3,Segmento 3,Sr. Luiz Miguel Cirino,4.4,10,2,6,3,5,4,0,5
176,2024-03-05,5510016,Supervisor 3,Segmento 3,Manuella Nascimento,3.2,7,0,1,3,6,3,2,4
177,2024-03-20,5510016,Supervisor 3,Segmento 3,Rafaela da Paz,7.0,9,3,8,10,10,4,5,7
178,2024-01-24,5510017,Supervisor 2,Segmento 3,Ágatha Aragão,6.1,5,9,6,6,9,9,1,4
179,2024-01-14,5510017,Supervisor 2,Segmento 3,Sophia Nascimento,4.4,9,8,2,5,0,4,6,1
180,2024-02-18,5510017,Supervisor 2,Segmento 3,Clara Lopes,3.5,6,1,7,1,3,2,7,1
181,2024-02-26,5510017,Supervisor 2,Segmento 3,Pedro Siqueira,4.4,4,7,1,1,8,5,6,3
182,2024-03-27,5510017,Supervisor 2,Segmento 3,Sra. Ester Abreu,5.9,0,6,9,0,6,10,6,10
183,2024-03-18,5510017,Supervisor 2,Segmento 3,Luiz Miguel Garcia,3.4,1,3,1,2,1,2,9,8
184,2024-01-05,5510019,Supervisor 4,Segmento 1,Vinícius Moreira,6.1,7,4,6,10,6,8,3,5
185,2024-01-26,5510019,Supervisor 4,Segmento 1,Julia Cavalcanti,3.0,1,6,1,2,3,4,6,1
186,2024-01-26,5510019,Supervisor 4,Segmento 1,Sr. Gael Henrique Mendes,4.5,1,9,2,6,3,3,9,3
187,2024-01-18,5510019,Supervisor 4,Segmento 1,Gael Henrique Pereira,6.0,0,9,0,6,10,5,8,10
188,2024-01-23,5510019,Supervisor 4,Segmento 1,Srta. Maria Flor Correia,3.5,2,2,8,3,0,0,9,4
189,2024-01-02,5510019,Supervisor 4,Segmento 1,Arthur Gabriel Souza,5.6,6,3,4,8,1,8,6,9
190,2024-02-04,5510019,Supervisor 4,Segmento 1,Srta. Ana Liz Albuquerque,6.5,5,5,9,10,10,6,1,6
191,2024-02-06,5510019,Supervisor 4,Segmento 1,Lucca Souza,7.6,10,8,10,9,10,1,4,9
192,2024-02-19,5510019,Supervisor 4,Segmento 1,Clarice Moreira,4.9,0,8,8,9,9,2,1,2
193,2024-02-27,5510019,Supervisor 4,Segmento 1,Sra. Ana Laura Costela,5.0,0,3,10,0,8,2,10,7
194,2024-02-04,5510019,Supervisor 4,Segmento 1,Olívia Andrade,5.8,3,6,3,10,6,5,6,7
195,2024-02-10,5510019,Supervisor 4,Segmento 1,Josué das Neves,5.9,10,5,6,9,6,5,4,2
196,2024-03-22,5510019,Supervisor 4,Segmento 1,Melina Monteiro,5.4,0,9,5,8,2,2,7,10
197,2024-03-06,5510019,Supervisor 4,Segmento 1,Ágatha Peixoto,5.0,5,0,10,4,4,6,5,6
198,2024-03-12,5510019,Supervisor 4,Segmento 1,João Miguel Azevedo,5.5,7,0,1,6,2,10,9,9
199,2024-03-07,5510019,Supervisor 4,Segmento 1,Dra. Alexia Sá,6.6,8,8,5,8,4,9,10,1
200,2024-03-20,5510019,Supervisor 4,Segmento 1,Davi Lucas Freitas,5.1,6,5,8,4,9,1,4,4
201,2024-03-26,5510019,Supervisor 4,Segmento 1,Dr. José Miguel Cunha,4.1,1,6,8,6,0,5,2,5
202,2024-01-19,5510020,Supervisor 2,Segmento 3,Francisco Gomes,7.2,3,10,10,4,9,9,8,5
203,2024-02-16,5510020,Supervisor 2,Segmento 3,Lunna Novais,4.1,0,3,0,8,3,8,9,2
204,2024-03-27,5510020,Supervisor 2,Segmento 3,Yago Caldeira,4.0,4,4,9,0,0,9,1,5
205,2024-01-06,5510021,Supervisor 4,Segmento 1,Lunna Alves,3.2,4,2,2,1,8,4,3,2
206,2024-01-22,5510021,Supervisor 4,Segmento 1,Alexandre Cunha,5.4,3,10,0,7,4,8,7,4
207,2024-02-18,5510021,Supervisor 4,Segmento 1,João Pedro Aparecida,4.1,5,3,4,10,10,0,1,0
208,2024-02-14,5510021,Supervisor 4,Segmento 1,Liam Barbosa,6.5,10,7,10,4,9,10,0,2
209,2024-03-08,5510021,Supervisor 4,Segmento 1,Alexia Gonçalves,7.0,10,5,7,3,10,5,9,7
210,2024-03-03,5510021,Supervisor 4,Segmento 1,Davi Miguel Gomes,5.4,10,2,8,0,4,6,6,7
211,2024-01-22,5510022,Supervisor 4,Segmento 2,Dr. João Gabriel Rocha,4.5,6,4,9,3,2,5,1,6
212,2024-01-08,5510022,Supervisor 4,Segmento 2,Daniel Campos,6.2,4,9,9,8,7,4,2,7
213,2024-01-18,5510022,Supervisor 4,Segmento 2,Otávio Almeida,5.0,10,0,1,8,9,7,2,3
214,2024-01-08,5510022,Supervisor 4,Segmento 2,Bento Rodrigues,8.0,9,8,10,5,8,7,9,8
215,2024-02-15,5510022,Supervisor 4,Segmento 2,Sr. Pedro Miguel Aragão,4.2,0,6,6,6,5,5,2,4
216,2024-02-10,5510022,Supervisor 4,Segmento 2,Alexia Pastor,4.6,8,8,5,3,0,3,4,6
217,2024-02-04,5510022,Supervisor 4,Segmento 2,Sr. Noah Gonçalves,4.8,8,6,7,3,0,4,0,10
218,2024-02-07,5510022,Supervisor 4,Segmento 2,Isadora Leão,4.8,0,0,9,5,3,6,5,10
219,2024-03-20,5510022,Supervisor 4,Segmento 2,Sra. Melissa Sousa,5.2,6,7,3,7,2,9,2,6
220,2024-03-01,5510022,Supervisor 4,Segmento 2,Danilo Oliveira,5.5,8,7,6,1,2,8,8,4
221,2024-03-14,5510022,Supervisor 4,Segmento 2,Igor da Paz,4.0,4,1,4,2,5,3,10,3
222,2024-03-02,5510022,Supervisor 4,Segmento 2,Ana Julia Borges,4.9,6,0,2,8,6,9,0,8
223,2024-01-17,5510023,Supervisor 6,Segmento 1,Ravi Lucca Cardoso,6.1,7,7,5,7,8,7,3,5
224,2024-01-13,5510023,Supervisor 6,Segmento 1,Ester Rios,5.0,9,4,4,6,3,4,2,8
225,2024-01-18,5510023,Supervisor 6,Segmento 1,Agatha Pereira,5.2,10,5,3,5,7,4,6,2
226,2024-01-09,5510023,Supervisor 6,Segmento 1,Mariana da Costa,4.2,0,6,6,5,2,7,3,5
227,2024-01-19,5510023,Supervisor 6,Segmento 1,Amanda Albuquerque,6.8,9,10,6,5,5,2,8,9
228,2024-01-26,5510023,Supervisor 6,Segmento 1,Sr. Juan Ribeiro,4.6,8,0,0,1,7,6,9,6
229,2024-02-21,5510023,Supervisor 6,Segmento 1,Sra. Ana Carolina da Paz,6.4,6,6,10,7,1,5,6,10
230,2024-02-04,5510023,Supervisor 6,Segmento 1,Nicole Sá,5.8,10,3,0,10,7,5,9,2
231,2024-02-07,5510023,Supervisor 6,Segmento 1,Sra. Gabriela Mendonça,7.1,5,7,9,7,7,10,6,6
232,2024-02-17,5510023,Supervisor 6,Segmento 1,Sr. Kaique Moura,2.6,8,0,0,0,2,7,3,1
233,2024-02-20,5510023,Supervisor 6,Segmento 1,Ana Luiza Melo,3.9,3,7,2,6,5,1,2,5
